  1    1   1.007825
  1    2   2.014101
  1    3   3.016049
  2    3   3.016029
  3    3   3.030775
  1    4   4.027806
  2    4   4.002603
  3    4   4.027185
  1    5   5.035311
  2    5   5.012223
  3    5   5.012537
  4    5   5.040790
  1    6   6.044942
  2    6   6.018889
  3    6   6.015122
  4    6   6.019726
  5    6   6.046810
  1    7   7.052749
  2    7   7.028020
  3    7   7.016004
  4    7   7.016929
  5    7   7.029917
  2    8   8.033921
  3    8   8.022487
  4    8   8.005305
  5    8   8.024607
  6    8   8.037675
  2    9   9.043950
  3    9   9.026789
  4    9   9.012182
  5    9   9.013328
  6    9   9.031036
  2   10  10.052398
  3   10  10.035481
  4   10  10.013533
  5   10  10.012936
  6   10  10.016853
  7   10  10.041653
  3   11  11.043797
  4   11  11.021657
  5   11  11.009305
  6   11  11.011433
  7   11  11.026090
  3   12  12.053780
  4   12  12.026920
  5   12  12.014352
  6   12  12.000000
  7   12  12.018613
  8   12  12.034404
  4   13  13.035693
  5   13  13.017780
  6   13  13.003354
  7   13  13.005738
  8   13  13.024812
  4   14  14.042892
  5   14  14.025404
  6   14  14.003241
  7   14  14.003074
  8   14  14.008596
  9   14  14.035060
  4   15  15.053460
  5   15  15.031103
  6   15  15.010599
  7   15  15.000108
  8   15  15.003065
  9   15  15.018009
  4   16  16.061920
  5   16  16.039808
  6   16  16.014701
  7   16  16.006101
  8   16  15.994914
  9   16  16.011465
 10   16  16.025761
  5   17  17.046989
  6   17  17.022586
  7   17  17.008450
  8   17  16.999131
  9   17  17.002095
 10   17  17.017671
  5   18  18.056170
  6   18  18.026759
  7   18  18.014078
  8   18  17.999161
  9   18  18.000937
 10   18  18.005708
 11   18  18.025969
  5   19  19.063730
  6   19  19.034805
  7   19  19.017028
  8   19  19.003580
  9   19  18.998403
 10   19  19.001880
 11   19  19.013877
 12   19  19.035470
  6   20  20.040319
  7   20  20.023365
  8   20  20.004076
  9   20  19.999981
 10   20  19.992440
 11   20  20.007351
 12   20  20.018862
  6   21  21.049340
  7   21  21.027108
  8   21  21.008655
  9   21  20.999948
 10   21  20.993846
 11   21  20.997655
 12   21  21.011712
 13   21  21.028040
  6   22  22.057200
  7   22  22.034394
  8   22  22.009966
  9   22  22.002998
 10   22  21.991385
 11   22  21.994436
 12   22  21.999573
 13   22  22.019520
 14   22  22.034530
  7   23  23.041220
  8   23  23.015687
  9   23  23.003574
 10   23  22.994466
 11   23  22.989769
 12   23  22.994123
 13   23  23.007267
 14   23  23.025520
  7   24  24.051040
  8   24  24.020472
  9   24  24.008115
 10   24  23.993610
 11   24  23.990962
 12   24  23.985041
 13   24  23.999938
 14   24  24.011545
 15   24  24.034350
  7   25  25.060660
  8   25  25.029460
  9   25  25.012101
 10   25  24.997736
 11   25  24.989953
 12   25  24.985836
 13   25  24.990428
 14   25  25.004105
 15   25  25.020260
  8   26  26.038340
  9   26  26.019615
 10   26  26.000461
 11   26  25.992633
 12   26  25.982592
 13   26  25.986891
 14   26  25.992329
 15   26  26.011780
 16   26  26.027880
  8   27  27.048260
  9   27  27.026760
 10   27  27.007589
 11   27  26.994076
 12   27  26.984340
 13   27  26.981538
 14   27  26.986704
 15   27  26.999230
 16   27  27.018833
  8   28  28.057810
  9   28  28.035670
 10   28  28.012071
 11   28  27.998938
 12   28  27.983876
 13   28  27.981910
 14   28  27.976926
 15   28  27.992314
 16   28  28.004372
 17   28  28.028510
  9   29  29.043260
 10   29  29.019385
 11   29  29.002861
 12   29  28.988600
 13   29  28.980445
 14   29  28.976494
 15   29  28.981800
 16   29  28.996608
 17   29  29.014110
  9   30  30.052500
 10   30  30.024801
 11   30  30.008976
 12   30  29.990434
 13   30  29.982960
 14   30  29.973770
 15   30  29.978313
 16   30  29.984903
 17   30  30.004770
 18   30  30.021560
  9   31  31.060429
 10   31  31.033110
 11   31  31.013585
 12   31  30.996546
 13   31  30.983946
 14   31  30.975363
 15   31  30.973761
 16   31  30.979554
 17   31  30.992413
 18   31  31.012123
 10   32  32.040020
 11   32  32.020466
 12   32  31.998975
 13   32  31.988124
 14   32  31.974148
 15   32  31.973907
 16   32  31.972070
 17   32  31.985689
 18   32  31.997637
